seg_id,surah,ayah,tafsir_id,query_index,query_text,prompt_tokens,completion_tokens,total_tokens
1,Al-Fātiḥah ,1,Al-Fātiḥah :1,1,Apa makna dari basmalah dalam memulai bacaan Al-Qur'an?,593,127,720
1,Al-Fātiḥah ,1,Al-Fātiḥah :1,2,Mengapa penting menyebut nama Allah sebelum melakukan pekerjaan?,593,127,720
1,Al-Fātiḥah ,1,Al-Fātiḥah :1,3,Bagaimana basmalah dapat memberikan keberkahan dalam aktivitas sehari-hari?,593,127,720
1,Al-Fātiḥah ,1,Al-Fātiḥah :1,4,Siapa yang dimaksud dengan Yang Maha Pengasih dan Maha Penyayang dalam tafsir ini?,593,127,720
1,Al-Fātiḥah ,1,Al-Fātiḥah :1,5,Apa perbedaan antara sifat kasih Allah kepada seluruh makhluk dan kepada orang beriman?,593,127,720
1,Al-Fātiḥah ,1,Al-Fātiḥah :1,6,Bagaimana mengingat Allah dapat membantu seseorang menghindari keburukan?,593,127,720
2,Al-Fātiḥah ,2,Al-Fātiḥah :2,1,Apa makna 'segala puji' dalam konteks ini?,459,102,561
2,Al-Fātiḥah ,2,Al-Fātiḥah :2,2,Mengapa pujian hanya untuk Allah semata?,459,102,561
2,Al-Fātiḥah ,2,Al-Fātiḥah :2,3,Siapa yang dimaksud dengan 'Tuhan Pencipta dan Pemelihara seluruh alam'?,459,102,561
2,Al-Fātiḥah ,2,Al-Fātiḥah :2,4,Bagaimana cara mempraktikkan pujian hanya untuk Allah dalam kehidupan sehari-hari?,459,102,561
2,Al-Fātiḥah ,2,Al-Fātiḥah :2,5,Apa perbedaan antara Allah sebagai Pencipta dan Pemelihara alam?,459,102,561
3,Al-Fātiḥah ,3,Al-Fātiḥah :3,1,Apa arti dari sifat Maha Pengasih dan Maha Penyayang dalam teks ini?,493,125,618
3,Al-Fātiḥah ,3,Al-Fātiḥah :3,2,Mengapa Allah disebut sebagai sumber segala karunia?,493,125,618
3,Al-Fātiḥah ,3,Al-Fātiḥah :3,3,Bagaimana perbedaan kasih Allah kepada seluruh makhluk dengan kepada orang beriman?,493,125,618
3,Al-Fātiḥah ,3,Al-Fātiḥah :3,4,Siapa yang dimaksud dengan 'Dialah' dalam teks ini?,493,125,618
3,Al-Fātiḥah ,3,Al-Fātiḥah :3,5,Kapan Allah memberikan kasih dan kebaikan kepada orang-orang beriman?,493,125,618
3,Al-Fātiḥah ,3,Al-Fātiḥah :3,6,Apa contoh karunia besar dan kecil yang disebutkan dalam teks?,493,125,618
4,Al-Fātiḥah ,4,Al-Fātiḥah :4,1,Apa yang dimaksud dengan hari Pembalasan?,479,120,599
4,Al-Fātiḥah ,4,Al-Fātiḥah :4,2,Mengapa hanya Allah yang memiliki hari Pembalasan?,479,120,599
4,Al-Fātiḥah ,4,Al-Fātiḥah :4,3,Bagaimana sifat kepemilikan Allah pada hari kiamat?,479,120,599
4,Al-Fātiḥah ,4,Al-Fātiḥah :4,4,Apa arti dari 'tidak disekutui oleh suatu apa pun' dalam konteks ini?,479,120,599
4,Al-Fātiḥah ,4,Al-Fātiḥah :4,5,Kapan hari Pembalasan itu terjadi?,479,120,599
4,Al-Fātiḥah ,4,Al-Fātiḥah :4,6,Siapa yang akan dihitung perbuatannya pada hari itu?,479,120,599
4,Al-Fātiḥah ,4,Al-Fātiḥah :4,7,Mengapa perbuatan manusia dihitung pada hari kiamat?,479,120,599
5,Al-Fātiḥah ,5,Al-Fātiḥah :5,1,Apa makna menyembah hanya kepada Allah dengan ketulusan?,492,124,616
5,Al-Fātiḥah ,5,Al-Fātiḥah :5,2,Mengapa kita harus memohon pertolongan hanya kepada Allah dalam segala urusan?,492,124,616
5,Al-Fātiḥah ,5,Al-Fātiḥah :5,3,Bagaimana cara beribadah dengan penuh kekhusyukan dan tawakal?,492,124,616
5,Al-Fātiḥah ,5,Al-Fātiḥah :5,4,Apa hubungan antara berusaha keras dan memohon pertolongan kepada Allah?,492,124,616
5,Al-Fātiḥah ,5,Al-Fātiḥah :5,5,Siapa yang dimaksud dengan 'kami' dalam tafsir ini?,492,124,616
5,Al-Fātiḥah ,5,Al-Fātiḥah :5,6,Kapan sebaiknya kita memohon pertolongan kepada Allah dalam kehidupan sehari-hari?,492,124,616
6,Al-Fātiḥah ,6,Al-Fātiḥah :6,1,Apa yang dimaksud dengan 'jalan yang lurus' dalam doa ini?,483,113,596
6,Al-Fātiḥah ,6,Al-Fātiḥah :6,2,Mengapa kita perlu memohon petunjuk jalan yang lurus?,483,113,596
6,Al-Fātiḥah ,6,Al-Fātiḥah :6,3,Bagaimana cara agar kita bisa tetap teguh di jalan yang benar?,483,113,596
6,Al-Fātiḥah ,6,Al-Fātiḥah :6,4,Apa manfaat dari mengikuti jalan yang lurus dalam kehidupan dunia?,483,113,596
6,Al-Fātiḥah ,6,Al-Fātiḥah :6,5,Bagaimana jalan yang lurus dapat membawa kita menuju keridaan Allah?,483,113,596
6,Al-Fātiḥah ,6,Al-Fātiḥah :6,6,Kapan sebaiknya kita memohon petunjuk jalan yang lurus?,483,113,596
7,Al-Fātiḥah ,7,Al-Fātiḥah :7,1,Siapa saja yang termasuk dalam golongan orang-orang yang diberi nikmat menurut tafsir ini?,749,137,886
7,Al-Fātiḥah ,7,Al-Fātiḥah :7,2,Apa perbedaan antara jalan orang yang dimurkai dan jalan orang yang sesat?,749,137,886
7,Al-Fātiḥah ,7,Al-Fātiḥah :7,3,Bagaimana ciri-ciri siddiqin dan salihin dalam kehidupan sehari-hari?,749,137,886
7,Al-Fātiḥah ,7,Al-Fātiḥah :7,4,Mengapa syuhada' disebut sebagai orang yang bersaksi atas kebenaran?,749,137,886
7,Al-Fātiḥah ,7,Al-Fātiḥah :7,5,Apa yang dimaksud dengan jalan yang dimohon dalam doa tersebut?,749,137,886
7,Al-Fātiḥah ,7,Al-Fātiḥah :7,6,Bagaimana contoh kelompok yang dimurkai dan sesat dalam konteks modern?,749,137,886
8,Al-Baqarah ,1,Al-Baqarah :1,1,Apa makna huruf-huruf seperti Alif Laam miim di awal beberapa surah Al-Qur'an?,580,149,729
8,Al-Baqarah ,1,Al-Baqarah :1,2,Mengapa hanya Allah yang mengetahui makna sebenarnya dari huruf-huruf tersebut?,580,149,729
8,Al-Baqarah ,1,Al-Baqarah :1,3,Bagaimana pendapat ulama tentang fungsi huruf-huruf abjad dalam pembukaan surah?,580,149,729
8,Al-Baqarah ,1,Al-Baqarah :1,4,Mengapa bangsa Arab tidak mampu membuat rangkaian huruf seperti Al-Qur'an?,580,149,729
8,Al-Baqarah ,1,Al-Baqarah :1,5,Apa hubungan antara huruf-huruf pembuka surah dengan mukjizat Al-Qur'an?,580,149,729
8,Al-Baqarah ,1,Al-Baqarah :1,6,Apakah ada surah lain yang dibuka dengan huruf abjad selain Alif Laam miim?,580,149,729
9,Al-Baqarah ,2,Al-Baqarah :2,1,Apa yang dimaksud dengan Kitab yang sempurna dan penuh keagungan dalam tafsir ini?,602,122,724
9,Al-Baqarah ,2,Al-Baqarah :2,2,Mengapa Al-Qur'an tidak diragukan kebenarannya menurut tafsir ini?,602,122,724
9,Al-Baqarah ,2,Al-Baqarah :2,3,Siapa yang dapat mengambil manfaat dari petunjuk Al-Qur'an berdasarkan tafsir ini?,602,122,724
9,Al-Baqarah ,2,Al-Baqarah :2,4,Bagaimana cara mempersiapkan diri untuk menerima kebenaran dari Al-Qur'an?,602,122,724
9,Al-Baqarah ,2,Al-Baqarah :2,5,Mengapa hanya orang-orang bertakwa yang mampu mengambil manfaat dari Al-Qur'an?,602,122,724
10,Al-Baqarah ,3,Al-Baqarah :3,1,Apa yang dimaksud dengan orang-orang yang bertakwa?,604,129,733
10,Al-Baqarah ,3,Al-Baqarah :3,2,Mengapa orang bertakwa beriman kepada hal gaib?,604,129,733
10,Al-Baqarah ,3,Al-Baqarah :3,3,Bagaimana cara orang bertakwa melaksanakan salat?,604,129,733
10,Al-Baqarah ,3,Al-Baqarah :3,4,Apa saja yang termasuk dalam infak di jalan kebaikan?,604,129,733
10,Al-Baqarah ,3,Al-Baqarah :3,5,Mengapa orang bertakwa menginfakkan sebagian rezeki mereka?,604,129,733
10,Al-Baqarah ,3,Al-Baqarah :3,6,Apa contoh hal gaib yang disebutkan dalam tafsir?,604,129,733
10,Al-Baqarah ,3,Al-Baqarah :3,7,Bagaimana hubungan antara iman dan ibadah dalam kehidupan orang bertakwa?,604,129,733
11,Al-Baqarah ,4,Al-Baqarah :4,1,Apa saja ciri-ciri orang yang bertakwa menurut teks ini?,580,123,703
11,Al-Baqarah ,4,Al-Baqarah :4,2,Mengapa orang bertakwa harus beriman pada kitab-kitab sebelum Al-Qur'an?,580,123,703
11,Al-Baqarah ,4,Al-Baqarah :4,3,Bagaimana cara membuktikan keyakinan pada akhirat dalam kehidupan sehari-hari?,580,123,703
11,Al-Baqarah ,4,Al-Baqarah :4,4,Apa yang dimaksud dengan adz-dzikr dalam teks ini?,580,123,703
11,Al-Baqarah ,4,Al-Baqarah :4,5,Mengapa risalah Allah dianggap satu pada awalnya?,580,123,703
11,Al-Baqarah ,4,Al-Baqarah :4,6,Apa perbedaan antara Suhuf-suhuf dan kitab-kitab lainnya?,580,123,703
12,Al-Baqarah ,5,Al-Baqarah :5,1,Apa ciri-ciri orang yang mendapat petunjuk dari Tuhan?,531,105,636
12,Al-Baqarah ,5,Al-Baqarah :5,2,Mengapa orang yang menaati perintah dan menjauhi larangan dianggap mulia?,531,105,636
12,Al-Baqarah ,5,Al-Baqarah :5,3,Bagaimana cara memperoleh kebahagiaan di dunia dan akhirat?,531,105,636
12,Al-Baqarah ,5,Al-Baqarah :5,4,Siapa yang termasuk orang-orang beruntung menurut tafsir ini?,531,105,636
12,Al-Baqarah ,5,Al-Baqarah :5,5,Apa yang dimaksud dengan keselamatan hidup di akhirat?,531,105,636
13,Al-Baqarah ,6,Al-Baqarah :6,1,Apa yang dimaksud dengan orang kafir dalam tafsir ini?,535,131,666
13,Al-Baqarah ,6,Al-Baqarah :6,2,Mengapa orang kafir tidak akan beriman meskipun diberi peringatan?,535,131,666
13,Al-Baqarah ,6,Al-Baqarah :6,3,Bagaimana sikap orang mukmin terhadap Al-Qur'an dibandingkan dengan orang kafir?,535,131,666
13,Al-Baqarah ,6,Al-Baqarah :6,4,Apa penyebab orang kafir menutupi hati dan akal pikiran mereka?,535,131,666
13,Al-Baqarah ,6,Al-Baqarah :6,5,Mengapa orang kafir lebih memilih jalan kebatilan?,535,131,666
13,Al-Baqarah ,6,Al-Baqarah :6,6,Apa konsekuensi bagi orang kafir yang tidak memenuhi seruan Allah dan Rasul-Nya?,535,131,666
14,Al-Baqarah ,7,Al-Baqarah :7,1,Apa yang menyebabkan hati seseorang terkunci dari hidayah?,541,101,642
14,Al-Baqarah ,7,Al-Baqarah :7,2,Mengapa pendengaran dan penglihatan bisa tertutup dari kebenaran?,541,101,642
14,Al-Baqarah ,7,Al-Baqarah :7,3,Bagaimana proses seseorang menjadi ingkar terhadap kebenaran?,541,101,642
14,Al-Baqarah ,7,Al-Baqarah :7,4,Apa akibat dari penutupan diri terhadap kebenaran?,541,101,642
